date r[AU] clt[rad] lon[rad] n[1/cm^3] P[Pa] vr[km/s] vclt[km/s] vlon[km/s] Br[nT] Bclt[nT] Blon[nT]
2019-07-02T12:04:22 4.63510e-01 1.62949e+00 -6.18688e-01 5.86669e+02 7.62197e-10 3.63134e+02 6.97246e-02 1.46769e+00 -3.00694e+00 3.79064e-01 1.22492e+00 
2019-07-02T12:13:52 4.63518e-01 1.62948e+00 -6.18476e-01 5.86991e+02 7.62671e-10 3.63112e+02 7.51476e-02 1.46699e+00 -3.00606e+00 3.81784e-01 1.22618e+00 
2019-07-02T12:24:14 4.63527e-01 1.62948e+00 -6.18245e-01 5.87304e+02 7.63127e-10 3.63090e+02 8.06979e-02 1.46626e+00 -3.00525e+00 3.84424e-01 1.22743e+00 
2019-07-02T12:33:52 4.63535e-01 1.62948e+00 -6.18030e-01 5.87618e+02 7.63585e-10 3.63069e+02 8.64400e-02 1.46566e+00 -3.00454e+00 3.86952e-01 1.22866e+00 
2019-07-02T12:43:52 4.63543e-01 1.62948e+00 -6.17807e-01 5.87926e+02 7.64032e-10 3.63049e+02 9.22600e-02 1.46526e+00 -3.00390e+00 3.89347e-01 1.22985e+00 
2019-07-02T12:54:14 4.63552e-01 1.62947e+00 -6.17575e-01 5.88228e+02 7.64468e-10 3.63030e+02 9.81079e-02 1.46511e+00 -3.00335e+00 3.91597e-01 1.23100e+00 
2019-07-02T13:03:52 4.63560e-01 1.62947e+00 -6.17360e-01 5.88531e+02 7.64910e-10 3.63012e+02 1.03999e-01 1.46516e+00 -3.00290e+00 3.93700e-01 1.23213e+00 
2019-07-02T13:13:52 4.63568e-01 1.62947e+00 -6.17137e-01 5.88827e+02 7.65344e-10 3.62994e+02 1.09809e-01 1.46540e+00 -3.00251e+00 3.95667e-01 1.23320e+00 
2019-07-02T13:24:14 4.63577e-01 1.62946e+00 -6.16905e-01 5.89117e+02 7.65773e-10 3.62978e+02 1.15487e-01 1.46576e+00 -3.00219e+00 3.97512e-01 1.23423e+00 
2019-07-02T13:33:52 4.63585e-01 1.62946e+00 -6.16691e-01 5.89408e+02 7.66212e-10 3.62962e+02 1.21055e-01 1.46621e+00 -3.00193e+00 3.99262e-01 1.23525e+00 
2019-07-02T13:43:52 4.63593e-01 1.62946e+00 -6.16467e-01 5.89692e+02 7.66647e-10 3.62946e+02 1.26404e-01 1.46668e+00 -3.00170e+00 4.00947e-01 1.23627e+00 
2019-07-02T13:54:14 4.63601e-01 1.62946e+00 -6.16236e-01 5.89970e+02 7.67080e-10 3.62931e+02 1.31503e-01 1.46711e+00 -3.00150e+00 4.02602e-01 1.23730e+00 
2019-07-02T14:03:50 4.63609e-01 1.62945e+00 -6.16022e-01 5.90248e+02 7.67523e-10 3.62917e+02 1.36404e-01 1.46741e+00 -3.00131e+00 4.04266e-01 1.23841e+00 
2019-07-02T14:13:49 4.63618e-01 1.62945e+00 -6.15799e-01 5.90520e+02 7.67960e-10 3.62903e+02 1.41025e-01 1.46751e+00 -3.00110e+00 4.05978e-01 1.23959e+00 
2019-07-02T14:24:12 4.63626e-01 1.62945e+00 -6.15567e-01 5.90786e+02 7.68389e-10 3.62889e+02 1.45367e-01 1.46730e+00 -3.00086e+00 4.07777e-01 1.24084e+00 
2019-07-02T14:33:49 4.63634e-01 1.62945e+00 -6.15352e-01 5.91054e+02 7.68821e-10 3.62875e+02 1.49517e-01 1.46672e+00 -3.00057e+00 4.09699e-01 1.24222e+00 
2019-07-02T14:43:49 4.63643e-01 1.62944e+00 -6.15129e-01 5.91319e+02 7.69241e-10 3.62862e+02 1.53426e-01 1.46569e+00 -3.00021e+00 4.11774e-01 1.24368e+00 
2019-07-02T14:54:12 4.63651e-01 1.62944e+00 -6.14897e-01 5.91581e+02 7.69649e-10 3.62848e+02 1.57126e-01 1.46419e+00 -2.99978e+00 4.14024e-01 1.24522e+00 
2019-07-02T15:03:46 4.63659e-01 1.62944e+00 -6.14684e-01 5.91849e+02 7.70059e-10 3.62836e+02 1.60729e-01 1.46227e+00 -2.99930e+00 4.16460e-01 1.24688e+00 
2019-07-02T15:13:43 4.63667e-01 1.62943e+00 -6.14462e-01 5.92115e+02 7.70459e-10 3.62823e+02 1.64207e-01 1.46005e+00 -2.99876e+00 4.19078e-01 1.24860e+00 
2019-07-02T15:24:08 4.63676e-01 1.62943e+00 -6.14229e-01 5.92255e+02 7.70932e-10 3.62847e+02 1.70053e-01 1.45992e+00 -2.99818e+00 4.11818e-01 1.23485e+00 
2019-07-02T15:33:38 4.63684e-01 1.62943e+00 -6.14017e-01 5.92524e+02 7.71349e-10 3.62836e+02 1.73524e-01 1.45775e+00 -2.99759e+00 4.14328e-01 1.23653e+00 
2019-07-02T15:43:38 4.63692e-01 1.62943e+00 -6.13794e-01 5.92789e+02 7.71757e-10 3.62825e+02 1.77002e-01 1.45554e+00 -2.99699e+00 4.17012e-01 1.23825e+00 
2019-07-02T15:54:08 4.63701e-01 1.62942e+00 -6.13559e-01 5.93050e+02 7.72157e-10 3.62816e+02 1.80531e-01 1.45345e+00 -2.99640e+00 4.19848e-01 1.24002e+00 
2019-07-02T16:03:41 4.63709e-01 1.62942e+00 -6.13346e-01 5.93314e+02 7.72570e-10 3.62807e+02 1.84232e-01 1.45162e+00 -2.99586e+00 4.22800e-01 1.24184e+00 
2019-07-02T16:13:42 4.63717e-01 1.62942e+00 -6.13123e-01 5.93573e+02 7.72980e-10 3.62799e+02 1.88047e-01 1.45013e+00 -2.99537e+00 4.25825e-01 1.24364e+00 
2019-07-02T16:24:10 4.63726e-01 1.62942e+00 -6.12889e-01 5.93826e+02 7.73392e-10 3.62791e+02 1.92001e-01 1.44902e+00 -2.99496e+00 4.28875e-01 1.24542e+00 
2019-07-02T16:33:44 4.63734e-01 1.62941e+00 -6.12675e-01 5.94080e+02 7.73821e-10 3.62784e+02 1.96183e-01 1.44833e+00 -2.99463e+00 4.31901e-01 1.24719e+00 
2019-07-02T16:43:45 4.63742e-01 1.62941e+00 -6.12452e-01 5.94327e+02 7.74254e-10 3.62778e+02 2.00517e-01 1.44806e+00 -2.99440e+00 4.34862e-01 1.24890e+00 
2019-07-02T16:54:12 4.63751e-01 1.62941e+00 -6.12219e-01 5.94568e+02 7.74690e-10 3.62772e+02 2.04987e-01 1.44819e+00 -2.99427e+00 4.37719e-01 1.25054e+00 
