date r[AU] clt[rad] lon[rad] n[1/cm^3] P[Pa] vr[km/s] vclt[km/s] vlon[km/s] Br[nT] Bclt[nT] Blon[nT]
2019-07-02T12:04:22 9.64391e-01 1.68772e+00 -1.57881e+00 1.37406e+02 1.08029e-10 4.01868e+02 6.32112e-01 -1.84026e+00 -1.70144e-01 4.77730e-02 7.05342e-01 
2019-07-02T12:13:52 9.64391e-01 1.68771e+00 -1.57880e+00 1.37088e+02 1.07822e-10 4.02037e+02 6.10144e-01 -1.87818e+00 -1.67932e-01 4.62893e-02 7.01328e-01 
2019-07-02T12:24:14 9.64390e-01 1.68771e+00 -1.57878e+00 1.36769e+02 1.07611e-10 4.02204e+02 5.89012e-01 -1.91600e+00 -1.65663e-01 4.48257e-02 6.97289e-01 
2019-07-02T12:33:52 9.64389e-01 1.68770e+00 -1.57877e+00 1.36447e+02 1.07396e-10 4.02370e+02 5.68635e-01 -1.95373e+00 -1.63335e-01 4.33790e-02 6.93202e-01 
2019-07-02T12:43:52 9.64389e-01 1.68769e+00 -1.57876e+00 1.36123e+02 1.07178e-10 4.02533e+02 5.48911e-01 -1.99131e+00 -1.60946e-01 4.19510e-02 6.89058e-01 
2019-07-02T12:54:14 9.64388e-01 1.68769e+00 -1.57875e+00 1.35796e+02 1.06957e-10 4.02694e+02 5.29709e-01 -2.02862e+00 -1.58493e-01 4.05467e-02 6.84844e-01 
2019-07-02T13:03:52 9.64388e-01 1.68768e+00 -1.57874e+00 1.35467e+02 1.06732e-10 4.02853e+02 5.10875e-01 -2.06556e+00 -1.55977e-01 3.91730e-02 6.80551e-01 
2019-07-02T13:13:52 9.64387e-01 1.68767e+00 -1.57873e+00 1.35135e+02 1.06505e-10 4.03010e+02 4.92277e-01 -2.10193e+00 -1.53398e-01 3.78398e-02 6.76183e-01 
2019-07-02T13:24:14 9.64386e-01 1.68767e+00 -1.57871e+00 1.34800e+02 1.06276e-10 4.03164e+02 4.73777e-01 -2.13754e+00 -1.50757e-01 3.65572e-02 6.71743e-01 
2019-07-02T13:33:52 9.64386e-01 1.68766e+00 -1.57870e+00 1.34463e+02 1.06044e-10 4.03316e+02 4.55240e-01 -2.17222e+00 -1.48057e-01 3.53327e-02 6.67234e-01 
2019-07-02T13:43:52 9.64385e-01 1.68765e+00 -1.57869e+00 1.34125e+02 1.05811e-10 4.03467e+02 4.36559e-01 -2.20577e+00 -1.45304e-01 3.41731e-02 6.62672e-01 
2019-07-02T13:54:14 9.64384e-01 1.68764e+00 -1.57868e+00 1.33786e+02 1.05575e-10 4.03614e+02 4.17636e-01 -2.23806e+00 -1.42502e-01 3.30828e-02 6.58069e-01 
2019-07-02T14:03:50 9.64384e-01 1.68764e+00 -1.57867e+00 1.33446e+02 1.05338e-10 4.03760e+02 3.98392e-01 -2.26901e+00 -1.39658e-01 3.20626e-02 6.53439e-01 
2019-07-02T14:13:49 9.64383e-01 1.68763e+00 -1.57866e+00 1.33106e+02 1.05099e-10 4.03904e+02 3.78790e-01 -2.29854e+00 -1.36777e-01 3.11123e-02 6.48803e-01 
2019-07-02T14:24:12 9.64382e-01 1.68762e+00 -1.57864e+00 1.32766e+02 1.04859e-10 4.04045e+02 3.58821e-01 -2.32668e+00 -1.33866e-01 3.02295e-02 6.44179e-01 
2019-07-02T14:33:49 9.64382e-01 1.68762e+00 -1.57863e+00 1.32427e+02 1.04618e-10 4.04184e+02 3.38504e-01 -2.35354e+00 -1.30929e-01 2.94095e-02 6.39579e-01 
2019-07-02T14:43:49 9.64381e-01 1.68761e+00 -1.57862e+00 1.32090e+02 1.04376e-10 4.04322e+02 3.17910e-01 -2.37921e+00 -1.27973e-01 2.86484e-02 6.35023e-01 
2019-07-02T14:54:12 9.64381e-01 1.68760e+00 -1.57861e+00 1.31754e+02 1.04132e-10 4.04456e+02 2.97141e-01 -2.40380e+00 -1.25001e-01 2.79411e-02 6.30524e-01 
2019-07-02T15:03:46 9.64380e-01 1.68760e+00 -1.57860e+00 1.31419e+02 1.03886e-10 4.04589e+02 2.76334e-01 -2.42745e+00 -1.22016e-01 2.72814e-02 6.26086e-01 
2019-07-02T15:13:43 9.64379e-01 1.68759e+00 -1.57859e+00 1.31086e+02 1.03637e-10 4.04719e+02 2.55648e-01 -2.45025e+00 -1.19020e-01 2.66652e-02 6.21718e-01 
2019-07-02T15:24:08 9.64379e-01 1.68758e+00 -1.57857e+00 1.30755e+02 1.03386e-10 4.04846e+02 2.35230e-01 -2.47225e+00 -1.16017e-01 2.60870e-02 6.17420e-01 
2019-07-02T15:33:38 9.64378e-01 1.68758e+00 -1.57856e+00 1.30427e+02 1.03132e-10 4.04972e+02 2.15190e-01 -2.49350e+00 -1.13008e-01 2.55395e-02 6.13184e-01 
2019-07-02T15:43:38 9.64377e-01 1.68757e+00 -1.57855e+00 1.30102e+02 1.02877e-10 4.05094e+02 1.95631e-01 -2.51399e+00 -1.09995e-01 2.50172e-02 6.09008e-01 
2019-07-02T15:54:08 9.64377e-01 1.68756e+00 -1.57854e+00 1.29780e+02 1.02620e-10 4.05214e+02 1.76613e-01 -2.53365e+00 -1.06980e-01 2.45139e-02 6.04884e-01 
2019-07-02T16:03:41 9.64376e-01 1.68756e+00 -1.57853e+00 1.29461e+02 1.02361e-10 4.05331e+02 1.58152e-01 -2.55239e+00 -1.03965e-01 2.40234e-02 6.00796e-01 
2019-07-02T16:13:42 9.64376e-01 1.68755e+00 -1.57852e+00 1.29146e+02 1.02100e-10 4.05445e+02 1.40262e-01 -2.57008e+00 -1.00951e-01 2.35421e-02 5.96739e-01 
2019-07-02T16:24:10 9.64375e-01 1.68754e+00 -1.57850e+00 1.28834e+02 1.01838e-10 4.05557e+02 1.22928e-01 -2.58664e+00 -9.79406e-02 2.30668e-02 5.92702e-01 
2019-07-02T16:33:44 9.64374e-01 1.68754e+00 -1.57849e+00 1.28525e+02 1.01575e-10 4.05665e+02 1.06108e-01 -2.60211e+00 -9.49369e-02 2.25957e-02 5.88671e-01 
2019-07-02T16:43:45 9.64374e-01 1.68753e+00 -1.57848e+00 1.28219e+02 1.01310e-10 4.05770e+02 8.97658e-02 -2.61656e+00 -9.19418e-02 2.21298e-02 5.84642e-01 
2019-07-02T16:54:12 9.64373e-01 1.68752e+00 -1.57847e+00 1.27916e+02 1.01044e-10 4.05872e+02 7.38453e-02 -2.63010e+00 -8.89579e-02 2.16712e-02 5.80607e-01 
2019-07-02T17:03:47 9.64372e-01 1.68752e+00 -1.57846e+00 1.27615e+02 1.00777e-10 4.05971e+02 5.82738e-02 -2.64283e+00 -8.59878e-02 2.12229e-02 5.76558e-01 
2019-07-02T17:13:46 9.64372e-01 1.68751e+00 -1.57845e+00 1.27315e+02 1.00510e-10 4.06067e+02 4.29890e-02 -2.65479e+00 -8.30336e-02 2.07903e-02 5.72496e-01 
2019-07-02T17:24:10 9.64371e-01 1.68750e+00 -1.57843e+00 1.27015e+02 1.00242e-10 4.06160e+02 2.79146e-02 -2.66595e+00 -8.00975e-02 2.03792e-02 5.68419e-01 
2019-07-02T17:33:44 9.64371e-01 1.68750e+00 -1.57842e+00 1.26714e+02 9.99742e-11 4.06250e+02 1.29682e-02 -2.67628e+00 -7.71813e-02 1.99946e-02 5.64324e-01 
