date r[AU] clt[rad] lon[rad] n[1/cm^3] P[Pa] vr[km/s] vclt[km/s] vlon[km/s] Br[nT] Bclt[nT] Blon[nT]
2019-07-02T12:04:22 7.20854e-01 1.56690e+00 2.64929e+00 9.88512e+01 1.35999e-10 5.29599e+02 -3.46735e-01 -1.83172e+00 -1.22969e+00 1.73627e-01 -9.16603e-01 
2019-07-02T12:13:52 7.20853e-01 1.56691e+00 2.64937e+00 9.89446e+01 1.35825e-10 5.29115e+02 -3.48563e-01 -1.81849e+00 -1.23541e+00 1.76872e-01 -9.15892e-01 
2019-07-02T12:24:14 7.20852e-01 1.56693e+00 2.64945e+00 9.90376e+01 1.35654e-10 5.28633e+02 -3.50426e-01 -1.80566e+00 -1.24109e+00 1.80061e-01 -9.15237e-01 
2019-07-02T12:33:52 7.20851e-01 1.56694e+00 2.64953e+00 9.91291e+01 1.35489e-10 5.28148e+02 -3.52452e-01 -1.79303e+00 -1.24673e+00 1.83196e-01 -9.14615e-01 
2019-07-02T12:43:52 7.20850e-01 1.56695e+00 2.64961e+00 9.92175e+01 1.35330e-10 5.27662e+02 -3.54747e-01 -1.78052e+00 -1.25231e+00 1.86281e-01 -9.14007e-01 
2019-07-02T12:54:14 7.20850e-01 1.56697e+00 2.64969e+00 9.93016e+01 1.35178e-10 5.27176e+02 -3.57416e-01 -1.76794e+00 -1.25783e+00 1.89321e-01 -9.13391e-01 
2019-07-02T13:03:52 7.20849e-01 1.56698e+00 2.64977e+00 9.93813e+01 1.35032e-10 5.26686e+02 -3.60546e-01 -1.75505e+00 -1.26328e+00 1.92324e-01 -9.12742e-01 
2019-07-02T13:13:52 7.20848e-01 1.56699e+00 2.64985e+00 9.94560e+01 1.34888e-10 5.26195e+02 -3.64163e-01 -1.74174e+00 -1.26866e+00 1.95301e-01 -9.12044e-01 
2019-07-02T13:24:14 7.20847e-01 1.56701e+00 2.64993e+00 9.95263e+01 1.34745e-10 5.25704e+02 -3.68260e-01 -1.72791e+00 -1.27397e+00 1.98259e-01 -9.11280e-01 
2019-07-02T13:33:52 7.20846e-01 1.56702e+00 2.65001e+00 9.95933e+01 1.34598e-10 5.25209e+02 -3.72795e-01 -1.71344e+00 -1.27921e+00 2.01210e-01 -9.10433e-01 
2019-07-02T13:43:52 7.20845e-01 1.56703e+00 2.65009e+00 9.96579e+01 1.34446e-10 5.24715e+02 -3.77676e-01 -1.69842e+00 -1.28439e+00 2.04160e-01 -9.09499e-01 
2019-07-02T13:54:14 7.20845e-01 1.56705e+00 2.65017e+00 9.97211e+01 1.34288e-10 5.24221e+02 -3.82802e-01 -1.68291e+00 -1.28950e+00 2.07115e-01 -9.08473e-01 
2019-07-02T14:03:50 7.20844e-01 1.56706e+00 2.65025e+00 9.97848e+01 1.34122e-10 5.23725e+02 -3.88076e-01 -1.66696e+00 -1.29456e+00 2.10079e-01 -9.07351e-01 
2019-07-02T14:13:49 7.20843e-01 1.56707e+00 2.65033e+00 9.98496e+01 1.33951e-10 5.23232e+02 -3.93391e-01 -1.65074e+00 -1.29958e+00 2.13049e-01 -9.06143e-01 
2019-07-02T14:24:12 7.20842e-01 1.56709e+00 2.65041e+00 9.99166e+01 1.33777e-10 5.22739e+02 -3.98665e-01 -1.63438e+00 -1.30454e+00 2.16025e-01 -9.04856e-01 
2019-07-02T14:33:49 7.20841e-01 1.56710e+00 2.65049e+00 9.99869e+01 1.33604e-10 5.22245e+02 -4.03843e-01 -1.61789e+00 -1.30946e+00 2.19002e-01 -9.03498e-01 
2019-07-02T14:43:49 7.20841e-01 1.56711e+00 2.65057e+00 1.00061e+02 1.33435e-10 5.21752e+02 -4.08869e-01 -1.60141e+00 -1.31435e+00 2.21976e-01 -9.02089e-01 
2019-07-02T14:54:12 7.20840e-01 1.56712e+00 2.65065e+00 1.00139e+02 1.33273e-10 5.21260e+02 -4.13710e-01 -1.58497e+00 -1.31919e+00 2.24942e-01 -9.00643e-01 
2019-07-02T15:03:46 7.20839e-01 1.56714e+00 2.65073e+00 1.00222e+02 1.33119e-10 5.20767e+02 -4.18352e-01 -1.56852e+00 -1.32400e+00 2.27896e-01 -8.99176e-01 
2019-07-02T15:13:43 7.20838e-01 1.56715e+00 2.65081e+00 1.00309e+02 1.32976e-10 5.20273e+02 -4.22763e-01 -1.55212e+00 -1.32877e+00 2.30834e-01 -8.97710e-01 
2019-07-02T15:24:08 7.20837e-01 1.56716e+00 2.65089e+00 1.00401e+02 1.32842e-10 5.19780e+02 -4.26927e-01 -1.53578e+00 -1.33351e+00 2.33752e-01 -8.96263e-01 
2019-07-02T15:33:38 7.20837e-01 1.56718e+00 2.65097e+00 1.00497e+02 1.32714e-10 5.19285e+02 -4.30845e-01 -1.51942e+00 -1.33820e+00 2.36645e-01 -8.94844e-01 
2019-07-02T15:43:38 7.20836e-01 1.56719e+00 2.65105e+00 1.00598e+02 1.32591e-10 5.18791e+02 -4.34499e-01 -1.50312e+00 -1.34286e+00 2.39511e-01 -8.93471e-01 
2019-07-02T15:54:08 7.20835e-01 1.56720e+00 2.65113e+00 1.00702e+02 1.32469e-10 5.18297e+02 -4.37896e-01 -1.48693e+00 -1.34747e+00 2.42346e-01 -8.92154e-01 
2019-07-02T16:03:41 7.20834e-01 1.56722e+00 2.65121e+00 1.00810e+02 1.32345e-10 5.17801e+02 -4.41067e-01 -1.47078e+00 -1.35205e+00 2.45146e-01 -8.90889e-01 
2019-07-02T16:13:42 7.20833e-01 1.56723e+00 2.65129e+00 1.00920e+02 1.32217e-10 5.17307e+02 -4.44029e-01 -1.45482e+00 -1.35657e+00 2.47911e-01 -8.89683e-01 
2019-07-02T16:24:10 7.20833e-01 1.56724e+00 2.65137e+00 1.01032e+02 1.32085e-10 5.16813e+02 -4.46826e-01 -1.43907e+00 -1.36105e+00 2.50639e-01 -8.88530e-01 
2019-07-02T16:33:44 7.20832e-01 1.56726e+00 2.65145e+00 1.01146e+02 1.31947e-10 5.16318e+02 -4.49530e-01 -1.42349e+00 -1.36548e+00 2.53330e-01 -8.87414e-01 
2019-07-02T16:43:45 7.20831e-01 1.56727e+00 2.65153e+00 1.01259e+02 1.31807e-10 5.15824e+02 -4.52190e-01 -1.40816e+00 -1.36985e+00 2.55986e-01 -8.86329e-01 
2019-07-02T16:54:12 7.20830e-01 1.56728e+00 2.65161e+00 1.01373e+02 1.31666e-10 5.15331e+02 -4.54877e-01 -1.39305e+00 -1.37417e+00 2.58610e-01 -8.85259e-01 
2019-07-02T17:03:47 7.20829e-01 1.56729e+00 2.65169e+00 1.01486e+02 1.31527e-10 5.14835e+02 -4.57668e-01 -1.37803e+00 -1.37842e+00 2.61205e-01 -8.84182e-01 
2019-07-02T17:13:46 7.20828e-01 1.56731e+00 2.65177e+00 1.01598e+02 1.31392e-10 5.14340e+02 -4.60606e-01 -1.36308e+00 -1.38260e+00 2.63774e-01 -8.83087e-01 
2019-07-02T17:24:10 7.20828e-01 1.56732e+00 2.65185e+00 1.01708e+02 1.31263e-10 5.13845e+02 -4.63737e-01 -1.34811e+00 -1.38671e+00 2.66321e-01 -8.81961e-01 
2019-07-02T17:33:44 7.20827e-01 1.56733e+00 2.65193e+00 1.01816e+02 1.31138e-10 5.13347e+02 -4.67101e-01 -1.33290e+00 -1.39075e+00 2.68849e-01 -8.80782e-01 
2019-07-02T17:43:43 7.20826e-01 1.56735e+00 2.65201e+00 1.01923e+02 1.31019e-10 5.12849e+02 -4.70702e-01 -1.31743e+00 -1.39471e+00 2.71359e-01 -8.79548e-01 
2019-07-02T17:54:10 7.20825e-01 1.56736e+00 2.65209e+00 1.02027e+02 1.30901e-10 5.12351e+02 -4.74543e-01 -1.30159e+00 -1.39859e+00 2.73854e-01 -8.78252e-01 
2019-07-02T18:03:44 7.20824e-01 1.56737e+00 2.65217e+00 1.02130e+02 1.30783e-10 5.11851e+02 -4.78630e-01 -1.28521e+00 -1.40239e+00 2.76335e-01 -8.76880e-01 
2019-07-02T18:13:45 7.20824e-01 1.56739e+00 2.65225e+00 1.02230e+02 1.30661e-10 5.11351e+02 -4.82934e-01 -1.26835e+00 -1.40611e+00 2.78803e-01 -8.75439e-01 
2019-07-02T18:24:11 7.20823e-01 1.56740e+00 2.65233e+00 1.02329e+02 1.30536e-10 5.10852e+02 -4.87432e-01 -1.25102e+00 -1.40975e+00 2.81257e-01 -8.73930e-01 
2019-07-02T18:33:46 7.20822e-01 1.56741e+00 2.65241e+00 1.02428e+02 1.30406e-10 5.10351e+02 -4.92102e-01 -1.23317e+00 -1.41331e+00 2.83696e-01 -8.72349e-01 
2019-07-02T18:43:47 7.20821e-01 1.56743e+00 2.65249e+00 1.02526e+02 1.30271e-10 5.09851e+02 -4.96895e-01 -1.21497e+00 -1.41680e+00 2.86120e-01 -8.70711e-01 
2019-07-02T18:54:12 7.20820e-01 1.56744e+00 2.65257e+00 1.02623e+02 1.30135e-10 5.09352e+02 -5.01768e-01 -1.19652e+00 -1.42021e+00 2.88525e-01 -8.69024e-01 
2019-07-02T19:03:49 7.20820e-01 1.56745e+00 2.65265e+00 1.02723e+02 1.29998e-10 5.08851e+02 -5.06686e-01 -1.17781e+00 -1.42354e+00 2.90907e-01 -8.67289e-01 
2019-07-02T19:13:50 7.20819e-01 1.56747e+00 2.65273e+00 1.02823e+02 1.29865e-10 5.08351e+02 -5.11591e-01 -1.15903e+00 -1.42681e+00 2.93263e-01 -8.65525e-01 
2019-07-02T19:24:13 7.20818e-01 1.56748e+00 2.65281e+00 1.02926e+02 1.29736e-10 5.07853e+02 -5.16434e-01 -1.14023e+00 -1.43001e+00 2.95589e-01 -8.63744e-01 
2019-07-02T19:33:51 7.20817e-01 1.56749e+00 2.65289e+00 1.03032e+02 1.29614e-10 5.07352e+02 -5.21177e-01 -1.12137e+00 -1.43315e+00 2.97880e-01 -8.61949e-01 
