date r[AU] clt[rad] lon[rad] n[1/cm^3] P[Pa] vr[km/s] vclt[km/s] vlon[km/s] Br[nT] Bclt[nT] Blon[nT]
2019-07-02T12:04:22 1.01671e+00 1.51876e+00 2.11369e-06 1.05426e+02 5.74446e-11 3.71079e+02 8.17750e-01 1.28490e+00 -1.28786e+00 3.03059e-01 4.99441e-02 
2019-07-02T12:13:52 1.01671e+00 1.51875e+00 2.06816e-06 1.05588e+02 5.75276e-11 3.70984e+02 8.10976e-01 1.30203e+00 -1.28628e+00 3.01175e-01 4.95204e-02 
2019-07-02T12:24:14 1.01671e+00 1.51873e+00 2.01848e-06 1.05751e+02 5.76109e-11 3.70890e+02 8.03940e-01 1.31913e+00 -1.28467e+00 2.99283e-01 4.91533e-02 
2019-07-02T12:33:52 1.01671e+00 1.51872e+00 1.97233e-06 1.05915e+02 5.76940e-11 3.70797e+02 7.96647e-01 1.33617e+00 -1.28301e+00 2.97378e-01 4.88362e-02 
2019-07-02T12:43:52 1.01671e+00 1.51871e+00 1.92442e-06 1.06080e+02 5.77772e-11 3.70705e+02 7.89109e-01 1.35311e+00 -1.28133e+00 2.95453e-01 4.85610e-02 
2019-07-02T12:54:14 1.01671e+00 1.51869e+00 1.87474e-06 1.06245e+02 5.78605e-11 3.70613e+02 7.81341e-01 1.36994e+00 -1.27961e+00 2.93502e-01 4.83175e-02 
2019-07-02T13:03:52 1.01671e+00 1.51868e+00 1.82860e-06 1.06411e+02 5.79443e-11 3.70522e+02 7.73362e-01 1.38664e+00 -1.27786e+00 2.91518e-01 4.80943e-02 
2019-07-02T13:13:52 1.01671e+00 1.51867e+00 1.78068e-06 1.06579e+02 5.80289e-11 3.70433e+02 7.65190e-01 1.40319e+00 -1.27608e+00 2.89494e-01 4.78830e-02 
2019-07-02T13:24:14 1.01671e+00 1.51865e+00 1.73100e-06 1.06747e+02 5.81150e-11 3.70344e+02 7.56840e-01 1.41957e+00 -1.27427e+00 2.87424e-01 4.76788e-02 
2019-07-02T13:33:52 1.01671e+00 1.51864e+00 1.68487e-06 1.06917e+02 5.82029e-11 3.70256e+02 7.48326e-01 1.43579e+00 -1.27243e+00 2.85304e-01 4.74747e-02 
2019-07-02T13:43:52 1.01671e+00 1.51863e+00 1.63699e-06 1.07088e+02 5.82930e-11 3.70170e+02 7.39655e-01 1.45184e+00 -1.27058e+00 2.83128e-01 4.72638e-02 
2019-07-02T13:54:14 1.01671e+00 1.51861e+00 1.58732e-06 1.07261e+02 5.83856e-11 3.70084e+02 7.30828e-01 1.46771e+00 -1.26870e+00 2.80894e-01 4.70485e-02 
2019-07-02T14:03:50 1.01671e+00 1.51860e+00 1.54131e-06 1.07435e+02 5.84805e-11 3.69998e+02 7.21850e-01 1.48343e+00 -1.26680e+00 2.78601e-01 4.68276e-02 
2019-07-02T14:13:49 1.01671e+00 1.51859e+00 1.49347e-06 1.07612e+02 5.85778e-11 3.69914e+02 7.12721e-01 1.49896e+00 -1.26489e+00 2.76250e-01 4.65950e-02 
2019-07-02T14:24:12 1.01671e+00 1.51857e+00 1.44367e-06 1.07790e+02 5.86772e-11 3.69831e+02 7.03441e-01 1.51432e+00 -1.26295e+00 2.73844e-01 4.63408e-02 
