date r[AU] clt[rad] lon[rad] n[1/cm^3] P[Pa] vr[km/s] vclt[km/s] vlon[km/s] Br[nT] Bclt[nT] Blon[nT]
2019-07-02T12:04:22 1.65141e+00 1.64431e+00 -2.57865e+00 3.39411e+01 1.28381e-11 3.94669e+02 -3.33611e-01 8.93173e-01 -2.15043e-01 1.97205e-01 6.01294e-02 
2019-07-02T12:13:52 1.65141e+00 1.64431e+00 -2.57870e+00 3.40039e+01 1.28507e-11 3.94577e+02 -3.25748e-01 9.36540e-01 -2.14711e-01 1.97968e-01 5.90871e-02 
2019-07-02T12:24:14 1.65142e+00 1.64431e+00 -2.57877e+00 3.40668e+01 1.28635e-11 3.94487e+02 -3.17912e-01 9.79759e-01 -2.14372e-01 1.98738e-01 5.80332e-02 
2019-07-02T12:33:52 1.65142e+00 1.64432e+00 -2.57883e+00 3.41296e+01 1.28764e-11 3.94398e+02 -3.10123e-01 1.02259e+00 -2.14026e-01 1.99526e-01 5.69683e-02 
2019-07-02T12:43:52 1.65142e+00 1.64432e+00 -2.57889e+00 3.41926e+01 1.28896e-11 3.94310e+02 -3.02324e-01 1.06514e+00 -2.13670e-01 2.00339e-01 5.58787e-02 
2019-07-02T12:54:14 1.65143e+00 1.64432e+00 -2.57895e+00 3.42559e+01 1.29031e-11 3.94223e+02 -2.94492e-01 1.10738e+00 -2.13304e-01 2.01183e-01 5.47569e-02 
2019-07-02T13:03:52 1.65143e+00 1.64433e+00 -2.57901e+00 3.43194e+01 1.29170e-11 3.94136e+02 -2.86643e-01 1.14912e+00 -2.12924e-01 2.02063e-01 5.36021e-02 
2019-07-02T13:13:52 1.65143e+00 1.64433e+00 -2.57907e+00 3.43835e+01 1.29317e-11 3.94050e+02 -2.78730e-01 1.19046e+00 -2.12531e-01 2.02980e-01 5.24031e-02 
2019-07-02T13:24:14 1.65144e+00 1.64433e+00 -2.57914e+00 3.44485e+01 1.29472e-11 3.93964e+02 -2.70743e-01 1.23136e+00 -2.12122e-01 2.03933e-01 5.11562e-02 
2019-07-02T13:33:52 1.65144e+00 1.64434e+00 -2.57919e+00 3.45145e+01 1.29637e-11 3.93878e+02 -2.62707e-01 1.27161e+00 -2.11697e-01 2.04920e-01 4.98661e-02 
2019-07-02T13:43:52 1.65144e+00 1.64434e+00 -2.57926e+00 3.45819e+01 1.29815e-11 3.93791e+02 -2.54590e-01 1.31134e+00 -2.11256e-01 2.05935e-01 4.85282e-02 
2019-07-02T13:54:14 1.65145e+00 1.64435e+00 -2.57932e+00 3.46513e+01 1.30009e-11 3.93705e+02 -2.46390e-01 1.35049e+00 -2.10799e-01 2.06973e-01 4.71465e-02 
2019-07-02T14:03:50 1.65145e+00 1.64435e+00 -2.57938e+00 3.47226e+01 1.30219e-11 3.93618e+02 -2.38145e-01 1.38892e+00 -2.10326e-01 2.08027e-01 4.57338e-02 
2019-07-02T14:13:49 1.65146e+00 1.64435e+00 -2.57944e+00 3.47965e+01 1.30448e-11 3.93532e+02 -2.29830e-01 1.42674e+00 -2.09838e-01 2.09087e-01 4.42926e-02 
2019-07-02T14:24:12 1.65146e+00 1.64436e+00 -2.57950e+00 3.48734e+01 1.30697e-11 3.93445e+02 -2.21458e-01 1.46398e+00 -2.09336e-01 2.10146e-01 4.28328e-02 
2019-07-02T14:33:49 1.65146e+00 1.64436e+00 -2.57956e+00 3.49532e+01 1.30965e-11 3.93358e+02 -2.13077e-01 1.50049e+00 -2.08822e-01 2.11195e-01 4.13719e-02 
2019-07-02T14:43:49 1.65147e+00 1.64436e+00 -2.57962e+00 3.50366e+01 1.31255e-11 3.93271e+02 -2.04670e-01 1.53646e+00 -2.08297e-01 2.12226e-01 3.99133e-02 
2019-07-02T14:54:12 1.65147e+00 1.64437e+00 -2.57969e+00 3.51238e+01 1.31564e-11 3.93185e+02 -1.96260e-01 1.57192e+00 -2.07762e-01 2.13233e-01 3.84662e-02 
2019-07-02T15:03:46 1.65147e+00 1.64437e+00 -2.57974e+00 3.52144e+01 1.31892e-11 3.93100e+02 -1.87902e-01 1.60675e+00 -2.07218e-01 2.14210e-01 3.70447e-02 
2019-07-02T15:13:43 1.65148e+00 1.64437e+00 -2.57980e+00 3.53088e+01 1.32236e-11 3.93016e+02 -1.79585e-01 1.64112e+00 -2.06668e-01 2.15151e-01 3.56467e-02 
2019-07-02T15:24:08 1.65148e+00 1.64438e+00 -2.57987e+00 3.54069e+01 1.32592e-11 3.92933e+02 -1.71328e-01 1.67506e+00 -2.06112e-01 2.16053e-01 3.42735e-02 
2019-07-02T15:33:38 1.65148e+00 1.64438e+00 -2.57993e+00 3.55079e+01 1.32955e-11 3.92852e+02 -1.63187e-01 1.70840e+00 -2.05550e-01 2.16915e-01 3.29331e-02 
2019-07-02T15:43:38 1.65149e+00 1.64438e+00 -2.57999e+00 3.56119e+01 1.33319e-11 3.92774e+02 -1.55136e-01 1.74131e+00 -2.04983e-01 2.17738e-01 3.16133e-02 
2019-07-02T15:54:08 1.65149e+00 1.64439e+00 -2.58005e+00 3.57182e+01 1.33673e-11 3.92697e+02 -1.47183e-01 1.77375e+00 -2.04413e-01 2.18521e-01 3.03085e-02 
2019-07-02T16:03:41 1.65150e+00 1.64439e+00 -2.58011e+00 3.58258e+01 1.34016e-11 3.92624e+02 -1.39371e-01 1.80555e+00 -2.03838e-01 2.19269e-01 2.90197e-02 
2019-07-02T16:13:42 1.65150e+00 1.64439e+00 -2.58017e+00 3.59342e+01 1.34353e-11 3.92553e+02 -1.31655e-01 1.83684e+00 -2.03260e-01 2.19986e-01 2.77281e-02 
2019-07-02T16:24:10 1.65150e+00 1.64440e+00 -2.58024e+00 3.60427e+01 1.34688e-11 3.92485e+02 -1.24021e-01 1.86758e+00 -2.02678e-01 2.20675e-01 2.64225e-02 
2019-07-02T16:33:44 1.65151e+00 1.64440e+00 -2.58029e+00 3.61500e+01 1.35021e-11 3.92419e+02 -1.16487e-01 1.89761e+00 -2.02093e-01 2.21344e-01 2.50996e-02 
2019-07-02T16:43:45 1.65151e+00 1.64440e+00 -2.58036e+00 3.62558e+01 1.35353e-11 3.92355e+02 -1.08984e-01 1.92702e+00 -2.01504e-01 2.21997e-01 2.37382e-02 
2019-07-02T16:54:12 1.65151e+00 1.64441e+00 -2.58042e+00 3.63594e+01 1.35686e-11 3.92292e+02 -1.01483e-01 1.95577e+00 -2.00910e-01 2.22642e-01 2.23265e-02 
2019-07-02T17:03:47 1.65152e+00 1.64441e+00 -2.58048e+00 3.64598e+01 1.36016e-11 3.92231e+02 -9.39867e-02 1.98371e+00 -2.00312e-01 2.23283e-01 2.08625e-02 
2019-07-02T17:13:46 1.65152e+00 1.64442e+00 -2.58054e+00 3.65571e+01 1.36347e-11 3.92171e+02 -8.64297e-02 2.01091e+00 -1.99708e-01 2.23925e-01 1.93297e-02 
2019-07-02T17:24:10 1.65153e+00 1.64442e+00 -2.58060e+00 3.66510e+01 1.36679e-11 3.92112e+02 -7.87835e-02 2.03733e+00 -1.99097e-01 2.24573e-01 1.77223e-02 
2019-07-02T17:33:44 1.65153e+00 1.64442e+00 -2.58066e+00 3.67412e+01 1.37012e-11 3.92053e+02 -7.10609e-02 2.06283e+00 -1.98478e-01 2.25231e-01 1.60472e-02 
2019-07-02T17:43:43 1.65153e+00 1.64443e+00 -2.58072e+00 3.68282e+01 1.37349e-11 3.91995e+02 -6.32054e-02 2.08750e+00 -1.97851e-01 2.25899e-01 1.42981e-02 
2019-07-02T17:54:10 1.65154e+00 1.64443e+00 -2.58079e+00 3.69124e+01 1.37692e-11 3.91936e+02 -5.52041e-02 2.11132e+00 -1.97212e-01 2.26579e-01 1.24815e-02 
2019-07-02T18:03:44 1.65154e+00 1.64443e+00 -2.58084e+00 3.69939e+01 1.38043e-11 3.91878e+02 -4.70891e-02 2.13419e+00 -1.96562e-01 2.27272e-01 1.06163e-02 
2019-07-02T18:13:45 1.65154e+00 1.64444e+00 -2.58091e+00 3.70741e+01 1.38406e-11 3.91820e+02 -3.88221e-02 2.15619e+00 -1.95899e-01 2.27976e-01 8.70777e-03 
2019-07-02T18:24:11 1.65155e+00 1.64444e+00 -2.58097e+00 3.71537e+01 1.38783e-11 3.91762e+02 -3.04055e-02 2.17732e+00 -1.95222e-01 2.28693e-01 6.77187e-03 
2019-07-02T18:33:46 1.65155e+00 1.64444e+00 -2.58103e+00 3.72335e+01 1.39174e-11 3.91704e+02 -2.18828e-02 2.19752e+00 -1.94531e-01 2.29420e-01 4.83445e-03 
2019-07-02T18:43:47 1.65155e+00 1.64445e+00 -2.58109e+00 3.73150e+01 1.39583e-11 3.91647e+02 -1.32255e-02 2.21688e+00 -1.93827e-01 2.30157e-01 2.90472e-03 
2019-07-02T18:54:12 1.65156e+00 1.64445e+00 -2.58115e+00 3.73993e+01 1.40011e-11 3.91591e+02 -4.44707e-03 2.23542e+00 -1.93110e-01 2.30902e-01 9.99332e-04 
2019-07-02T19:03:49 1.65156e+00 1.64445e+00 -2.58121e+00 3.74871e+01 1.40457e-11 3.91536e+02 4.40215e-03 2.25307e+00 -1.92382e-01 2.31652e-01 -8.59331e-04 
2019-07-02T19:13:50 1.65157e+00 1.64446e+00 -2.58127e+00 3.75797e+01 1.40922e-11 3.91482e+02 1.33419e-02 2.26994e+00 -1.91645e-01 2.32405e-01 -2.66797e-03 
