date r[AU] clt[rad] lon[rad] n[1/cm^3] P[Pa] vr[km/s] vclt[km/s] vlon[km/s] Br[nT] Bclt[nT] Blon[nT]
2019-07-02T12:04:22 5.16706e-01 1.51876e+00 2.11369e-06 4.45148e+02 5.83573e-10 3.86635e+02 -1.52695e+00 -1.36251e+00 -5.13043e+00 7.50253e-01 8.79014e-01 
2019-07-02T12:13:52 5.16706e-01 1.51875e+00 2.06816e-06 4.44991e+02 5.83424e-10 3.86687e+02 -1.51659e+00 -1.35420e+00 -5.13068e+00 7.50044e-01 8.79704e-01 
2019-07-02T12:24:14 5.16706e-01 1.51873e+00 2.01848e-06 4.44835e+02 5.83263e-10 3.86738e+02 -1.50619e+00 -1.34590e+00 -5.13089e+00 7.49815e-01 8.80361e-01 
2019-07-02T12:33:52 5.16706e-01 1.51872e+00 1.97233e-06 4.44680e+02 5.83090e-10 3.86789e+02 -1.49573e+00 -1.33763e+00 -5.13107e+00 7.49573e-01 8.80955e-01 
2019-07-02T12:43:52 5.16706e-01 1.51871e+00 1.92442e-06 4.44526e+02 5.82906e-10 3.86840e+02 -1.48525e+00 -1.32938e+00 -5.13124e+00 7.49324e-01 8.81464e-01 
2019-07-02T12:54:14 5.16707e-01 1.51869e+00 1.87474e-06 4.44372e+02 5.82713e-10 3.86892e+02 -1.47475e+00 -1.32116e+00 -5.13139e+00 7.49071e-01 8.81868e-01 
2019-07-02T13:03:52 5.16707e-01 1.51868e+00 1.82860e-06 4.44220e+02 5.82518e-10 3.86943e+02 -1.46424e+00 -1.31298e+00 -5.13153e+00 7.48817e-01 8.82155e-01 
2019-07-02T13:13:52 5.16707e-01 1.51867e+00 1.78068e-06 4.44068e+02 5.82325e-10 3.86994e+02 -1.45377e+00 -1.30485e+00 -5.13166e+00 7.48561e-01 8.82321e-01 
2019-07-02T13:24:14 5.16707e-01 1.51865e+00 1.73100e-06 4.43917e+02 5.82141e-10 3.87045e+02 -1.44334e+00 -1.29677e+00 -5.13178e+00 7.48298e-01 8.82367e-01 
2019-07-02T13:33:52 5.16707e-01 1.51864e+00 1.68487e-06 4.43767e+02 5.81970e-10 3.87096e+02 -1.43297e+00 -1.28877e+00 -5.13188e+00 7.48024e-01 8.82302e-01 
2019-07-02T13:43:52 5.16707e-01 1.51863e+00 1.63699e-06 4.43618e+02 5.81815e-10 3.87147e+02 -1.42269e+00 -1.28085e+00 -5.13197e+00 7.47731e-01 8.82138e-01 
